codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
91,Amazonas,17,97.88,19,111.4,36,104.58
91|001,Leticia,17,198.55,19,230.86,36,214.39
5,Antioquia,427,43.73,509,54.59,936,49.04
5|002,Abejorral,3,99.97,1,35.61,4,68.86
5|031,Amalfi,3,72.25,4,101.19,7,86.37
5|034,Andes,6,76.19,6,80.62,12,78.34
5|04,Anorí,1,32.2,4,139.66,5,83.75
5|045,Apartadó,1,2.6,0,0,1,1.33
5|079,Barbosa,4,46.58,8,97.34,12,71.4
5|088,Bello,20,28.49,35,50.92,55,39.58
5|125,Caicedo,0,0,3,197.76,3,92.91
5|129,Caldas,5,45.87,4,38.28,9,42.16
5|154,Caucasia,2,9.25,3,14.22,5,11.71
5|172,Chigorodó,1,6.31,0,0,1,3.18
5|19,Cisneros,0,0,1,77.4,1,37.41
5|101,Ciudad Bolívar,1,21.32,1,22.41,2,21.85
5|197,Cocorná,0,0,2,92.12,2,45.36
5|209,Concordia,2,51.45,4,111.23,6,80.18
5|212,Copacabana,5,52.64,16,177.68,21,113.49
5|237,Donmatías,1,24.94,0,0,1,12.75
5|24,Ebéjico,2,94.79,1,49.7,3,72.78
5|148,El Carmen de Viboral,2,23.21,3,36.88,5,29.85
5|697,El Santuario,1,24.25,0,0,1,12.49
5|266,Envigado,8,25.79,13,44.05,21,34.69
5|282,Fredonia,0,0,1,30.88,1,15.12
5|306,Giraldo,1,140.25,1,148.15,2,144.09
5|308,Girardota,2,22.79,1,11.71,3,17.33
5|31,Gómez Plata,2,99.7,1,51.73,3,76.16
5|318,Guarne,21,253.44,28,355.96,49,303.37
5|36,Itagüí,24,62.14,24,64.04,48,63.08
5|361,Ituango,5,110.99,3,68.74,8,90.2
5|364,Jardín,1,42.05,0,0,1,21.83
5|368,Jericó,1,52.83,0,0,1,26.8
5|376,La Ceja,9,106.24,6,73.48,15,90.17
5|38,La Estrella,4,41.78,4,43.49,8,42.62
5|44,Marinilla,1,10.28,0,0,1,5.26
5|001,Medellín,244,86.7,275,102.16,519,94.26
5|48,Mutatá,1,24.55,0,0,1,12.59
5|541,Peñol,1,36.82,1,38.02,2,37.41
5|579,Puerto Berrío,1,12.82,1,13.27,2,13.04
5|591,Puerto Triunfo,1,26.33,0,0,1,13.79
5|604,Remedios,2,36,0,0,2,18.73
5|607,Retiro,0,0,2,68.97,2,33.48
5|615,Rionegro,11,58.57,17,94.94,28,76.32
5|631,Sabaneta,2,35.59,1,18.11,3,26.93
5|642,Salgar,3,91.27,8,264.29,11,174.22
5|649,San Carlos,3,112.82,2,81.1,5,97.56
5|66,San Luis,3,154,0,0,3,81.86
5|67,San Roque,1,33.6,1,35.22,2,34.39
5|042,Santa Fé de Antioquia,1,22.19,2,47.81,3,34.52
5|686,Santa Rosa de Osos,1,16.3,2,34.61,3,25.18
5|69,Santo Domingo,0,0,1,58.86,1,28.38
5|736,Segovia,0,0,1,13.91,1,6.72
5|756,Sonsón,2,34.89,5,91.24,7,62.43
5|79,Tarazá,1,10.22,0,0,1,5.24
5|837,Turbo,7,20.37,5,15.09,12,17.78
5|847,Urrao,0,0,1,13.11,1,6.24
5|861,Venecia,0,0,1,55.49,1,26.6
5|887,Yarumal,3,33.84,5,59.07,8,46.16
81,Arauca,59,101.82,67,119.44,126,110.49
81|001,Arauca,36,184.55,44,227.48,80,205.93
81|065,Arauquita,4,43.67,3,33.9,7,38.87
81|22,Cravo Norte,0,0,1,139.66,1,69.4
81|3,Fortul,0,0,7,125,7,62.43
81|591,Puerto Rondón,1,117.92,0,0,1,60.68
81|736,Saravena,6,57.01,4,39.49,10,48.42
81|794,Tame,12,103.73,8,75.03,20,89.97
88,San Andrés (P y S.Cat),8,68.43,5,44.69,13,56.83
88|001,San Andrés,8,73.27,5,47.76,13,60.78
8,Atlántico,124,31.17,189,49.74,313,40.24
8|078,Baranoa,2,21.42,4,44.77,6,32.84
8|001,Barranquilla,77,42.32,116,66.47,193,54.14
8|296,Galapa,0,0,2,26.55,2,12.82
8|372,Juan de Acosta,2,69.01,0,0,2,36.56
8|421,Luruaco,1,20.28,0,0,1,10.36
8|433,Malambo,9,41.89,16,78.4,25,59.67
8|558,Polonuevo,1,39.94,1,42.66,2,41.25
8|56,Ponedera,1,23.65,1,25.02,2,24.31
8|573,Puerto Colombia,1,24.17,1,27.02,2,25.51
8|634,Sabanagrande,2,38.95,1,20.21,3,29.76
8|638,Sabanalarga,2,11.18,4,23.89,6,17.32
8|758,Soledad,26,24.49,43,42.13,69,33.14
11,Bogotá D.C.,1732,154.78,1741,163.17,3473,158.88
11|001,Bogotá D.C.,1732,154.78,1741,163.17,3473,158.88
13,Bolívar,78,20.79,78,21.67,156,21.22
13|042,Arenal,0,0,1,25.52,1,12.24
13|052,Arjona,0,0,2,15.14,2,7.43
13|001,Cartagena de Indias,49,31.01,42,27.21,91,29.13
13|222,Clemencia,0,0,1,41.51,1,19.66
13|244,El Carmen de Bolívar,11,69.36,9,60.7,20,65.17
13|268,El Peñón,0,0,1,52.44,1,25.04
13|43,Magangué,10,44.22,14,65.14,24,54.41
13|442,María la Baja,1,10.03,0,0,1,5.2
13|654,San Jacinto,1,26.93,2,57.42,3,41.68
13|657,San Juan Nepomuceno,4,69.07,1,18.19,5,44.29
13|673,Santa Catalina,0,0,1,39.62,1,19.49
13|836,Turbaco,1,8.53,4,35.28,5,21.68
13|838,Turbaná,1,32.58,0,0,1,16.73
15,Boyacá,170,80.56,197,98.95,367,89.49
15|022,Almeida,1,378.79,1,392.16,2,385.36
15|047,Aquitania,0,0,1,36.13,1,17.6
15|087,Belén,0,0,1,95.69,1,46.38
15|172,Chinavita,0,0,1,206.19,1,98.91
15|176,Chiquinquirá,8,68.73,12,111.98,20,89.47
15|236,Chivor,1,294.99,1,340.14,2,315.96
15|204,Cómbita,0,0,1,62.74,1,29.82
15|238,Duitama,19,108.58,22,124.53,41,116.6
15|272,Firavitoba,1,117.92,0,0,1,61.5
15|276,Floresta,0,0,1,163.93,1,79.37
15|299,Garagoa,10,351.37,11,391.74,21,371.42
15|322,Guateque,2,141.14,1,80.39,3,112.74
15|362,Iza,1,310.56,0,0,1,164.2
15|38,La Capilla,0,0,1,310.56,1,151.06
15|377,Labranzagrande,1,136.61,0,0,1,72.15
15|425,Macanal,0,0,3,415.51,3,204.64
15|442,Maripí,2,136.71,0,0,2,71.3
15|466,Monguí,0,0,1,120.92,1,60.64
15|469,Moniquirá,0,0,2,62.87,2,30.53
15|491,Nobsa,1,35.95,1,38.12,2,37
15|5,Oicatá,2,372.44,0,0,2,193.99
15|507,Otanche,0,0,1,48.66,1,23.62
15|511,Pachavita,0,0,3,898.2,3,431.65
15|516,Paipa,2,39.65,1,20.93,3,30.54
15|522,Panqueba,0,0,1,540.54,1,255.75
15|542,Pesca,1,79.05,1,87.11,2,82.88
15|572,Puerto Boyacá,6,62.07,7,76,13,68.86
15|599,Ramiriquí,1,55.68,0,0,1,28.65
15|6,Ráquira,1,31.23,1,36.64,2,33.72
15|646,Samacá,3,75.74,4,109.23,7,91.83
15|681,San Pablo de Borbur,3,161.12,7,419.41,10,283.21
15|693,Santa Rosa de Viterbo,1,52.6,1,58.86,2,55.56
15|686,Santana,1,71.84,1,78.86,2,75.19
15|755,Socotá,1,81.23,0,0,1,42.77
15|759,Sogamoso,53,320.8,50,304.47,103,312.66
15|764,Soracá,2,207.25,2,220.99,4,213.9
15|79,Tasco,1,93.28,0,0,1,47.76
15|798,Tenza,0,0,1,202.84,1,94.07
15|806,Tibasosa,3,125.47,0,0,3,64.74
15|822,Tota,1,115.87,0,0,1,61.39
15|001,Tunja,41,138.57,53,183.54,94,160.78
15|407,Villa de Leyva,0,0,1,42.12,1,19.74
15|879,Viracachá,0,0,1,203.25,1,92.59
17,Caldas,52,35.33,56,39.96,108,37.59
17|042,Anserma,2,40.13,1,20.18,3,30.18
17|05,Aranzazu,2,106.16,0,0,2,54.26
17|174,Chinchiná,3,37.39,6,76.96,9,56.89
17|38,La Dorada,8,63.82,5,41.41,13,52.83
17|001,Manizales,30,60.35,26,54.3,56,57.38
17|442,Marmato,0,0,2,121.73,2,59.14
17|486,Neira,1,17.28,1,18.4,2,17.82
17|524,Palestina,0,0,1,34.98,1,16.91
17|614,Riosucio,0,0,1,11.36,1,5.49
17|653,Salamina,0,0,2,74.71,2,36
17|662,Samaná,1,22.22,0,0,1,11.56
17|777,Supía,1,23.25,3,72.08,4,47.26
17|873,Villamaría,4,47.72,8,101.39,12,73.74
18,Caquetá,16,16.66,28,30.2,44,23.31
18|15,Cartagena del Chairá,1,13.1,7,94.71,8,53.24
18|001,Florencia,13,42.27,20,66.34,33,54.18
18|479,Morelia,0,0,1,129.53,1,63.33
18|592,Puerto Rico,1,14.08,0,0,1,7.25
18|785,Solita,1,52.25,0,0,1,26.9
85,Casanare,100,148.28,122,189.43,222,168.38
85|01,Aguazul,1,13.83,1,14.23,2,14.03
85|125,Hato Corozal,1,36.95,0,0,1,19.41
85|139,Maní,0,0,6,320.86,6,153.49
85|162,Monterrey,1,37.38,0,0,1,18.67
85|23,Orocué,0,0,1,60.13,1,29.15
85|25,Paz de Ariporo,23,436.52,29,583.27,52,507.76
85|263,Pore,1,64.77,1,70.22,2,67.39
85|3,Sabanalarga,1,192.68,0,0,1,95.88
85|41,Tauramena,5,122.61,9,236.84,14,177.71
85|43,Trinidad,1,33.13,5,164.53,6,99.06
85|001,Yopal,66,260.29,70,288.77,136,274.21
19,Cauca,52,21.7,73,31.83,125,26.65
19|13,Cajibío,0,0,1,15,1,7.18
19|142,Caloto,0,0,3,109.93,3,53.95
19|212,Corinto,0,0,2,36.28,2,17.8
19|256,El Tambo,1,12.56,1,13.45,2,12.99
19|3,Guachené,0,0,1,26.14,1,13.13
19|517,Páez,1,12.73,0,0,1,6.55
19|548,Piendamó,1,13.45,2,28.13,3,20.63
19|001,Popayán,38,103.84,54,152.32,92,127.7
19|693,San Sebastián,1,48.26,0,0,1,25.17
19|698,Santander de Quilichao,8,52.45,8,54.26,16,53.34
19|807,Timbío,1,19.51,1,21.31,2,20.37
19|824,Totoró,1,23.93,0,0,1,12.18
20,Cesar,49,24.47,50,26.15,99,25.29
20|011,Aguachica,7,40.17,9,53.11,16,46.55
20|013,Agustín Codazzi,2,19.4,7,70.93,9,44.6
20|06,Bosconia,4,48.41,1,12.81,5,31.12
20|178,Chiriguaná,3,74.63,0,0,3,38.2
20|25,El Paso,1,19.9,1,20.76,2,20.32
20|621,La Paz,0,0,1,22.52,1,10.93
20|57,Pueblo Bello,3,54.3,4,79.57,7,66.34
20|71,San Alberto,1,22.41,2,45.91,3,34.02
20|77,San Martín,1,27.77,1,29.52,2,28.62
20|001,Valledupar,27,32.47,24,29.78,51,31.14
27,Chocó,18,16.01,13,11.86,31,13.96
27|077,Bajo Baudó,0,0,1,23.8,1,11.42
27|16,Cértegui,1,54.05,0,0,1,28.11
27|001,Quibdó,17,65.68,12,48.19,29,57.1
23,Córdoba,39,12.17,41,13.36,80,12.75
23|162,Cereté,0,0,3,20.49,3,10.19
23|189,Ciénaga de Oro,1,8.46,1,9.01,2,8.73
23|417,Lorica,2,9.28,5,24.34,7,16.63
23|466,Montelíbano,2,12.57,8,50.93,10,31.63
23|001,Montería,28,37.66,20,27.47,48,32.62
23|5,Moñitos,2,33.89,0,0,2,17.45
23|555,Planeta Rica,1,8.16,2,16.96,3,12.48
23|66,Sahagún,0,0,1,6.8,1,3.33
23|678,San Carlos,1,19.49,0,0,1,9.92
23|686,San Pelayo,1,13.72,1,14.31,2,14.01
23|855,Valencia,1,11,0,0,1,5.68
25,Cundinamarca,426,95.96,504,118.36,930,106.93
25|001,Agua de Dios,1,61.39,0,0,1,31.67
25|019,Albán,0,0,1,105.93,1,53.02
25|035,Anapoima,3,154.08,1,53.33,4,104.66
25|04,Anolaima,2,110.13,4,233.78,6,170.12
25|599,Apulo,2,169.2,0,0,2,85.4
25|053,Arbeláez,0,0,2,91.37,2,44.95
25|086,Beltrán,0,0,1,272.48,1,135.69
25|095,Bituima,0,0,1,253.16,1,116.69
25|123,Cachipay,1,52.8,4,217.39,5,133.9
25|126,Cajicá,8,83.81,14,159.18,22,119.96
25|151,Cáqueza,2,73.75,8,312.26,10,189.61
25|154,Carmen de Carupa,2,139.28,1,76.39,3,109.29
25|168,Chaguaní,0,0,1,156.49,1,75.7
25|175,Chía,2,10.32,1,5.32,3,7.86
25|178,Chipaque,6,400.8,2,147.06,8,280.01
25|181,Choachí,4,221.73,4,231.08,8,226.31
25|183,Chocontá,13,308.57,12,293.97,25,301.39
25|2,Cogua,1,26.85,2,54.54,3,40.59
25|224,Cucunubá,3,196.98,2,140.85,5,169.89
25|245,El Colegio,2,61.9,2,64.1,4,62.98
25|269,Facatativá,37,164.85,51,239.27,88,201.1
25|279,Fómeque,1,53.65,0,0,1,27.96
25|281,Fosca,1,74.13,0,0,1,38.08
25|286,Funza,5,41.47,6,49.85,11,45.65
25|288,Fúquene,3,313.15,0,0,3,161.46
25|29,Fusagasugá,18,93.91,18,96.28,36,95.08
25|295,Gachancipá,3,100.91,2,70.42,5,86.01
25|307,Girardot,17,121.55,19,131.85,36,126.78
25|312,Granada,0,0,1,65.53,1,32.55
25|317,Guachetá,0,0,5,285.39,5,139.86
25|32,Guaduas,2,30.03,2,31.04,4,30.53
25|322,Guasca,1,37.68,6,238.95,7,135.53
25|324,Guataquí,1,215.98,0,0,1,110.25
25|326,Guatavita,1,88.11,0,0,1,45.02
25|335,Guayabetal,0,0,1,140.25,1,70.22
25|339,Gutiérrez,1,147.71,1,148.15,2,147.93
25|368,Jerusalén,0,0,1,198.02,1,98.91
25|377,La Calera,6,142.08,5,122.97,11,132.71
25|386,La Mesa,7,149.44,11,243.26,18,195.52
25|398,La Peña,0,0,2,196.08,2,96.29
25|402,La Vega,3,139.02,3,144.3,6,141.61
25|407,Lenguazaque,1,55.43,2,119.12,3,86.13
25|426,Machetá,2,209.86,1,99.9,3,153.53
25|43,Madrid,8,60.36,8,62.62,16,61.47
25|436,Manta,0,0,1,130.72,1,63.86
25|438,Medina,3,150.98,1,55.77,4,105.82
25|473,Mosquera,7,48.67,3,22.12,10,35.78
25|486,Nemocón,6,236.13,5,203.92,11,220.31
25|488,Nilo,0,0,1,43.98,1,17.58
25|513,Pacho,1,22.34,5,113.43,6,67.54
25|53,Paratebueno,0,0,3,221.24,3,109.29
25|535,Pasca,6,280.64,7,331.75,13,306.03
25|58,Pulí,1,209.64,0,0,1,107.41
25|592,Quebradanegra,0,0,1,131.23,1,64.18
25|594,Quetame,0,0,2,210.75,2,98.09
25|596,Quipile,0,0,4,271.92,4,130.68
25|645,San Antonio del Tequendama,2,103.31,3,160.6,5,131.44
25|649,San Bernardo,1,57.37,0,0,1,29.28
25|658,San Francisco,4,230.55,3,190.11,7,211.29
25|662,San Juan de Rioseco,1,64.39,2,128.87,3,96.62
25|718,Sasaima,8,502.51,9,588.62,17,544.7
25|736,Sesquilé,8,319.36,6,247.42,14,283.98
25|74,Sibaté,13,205.14,16,262.86,29,233.42
25|743,Silvania,1,29.01,2,61.26,3,44.7
